id	cen10h1	cen10h2	ch1-1	ch1-2	ch1-3	ch4,5,8	ch6	ch10	ch11	ch9,18	ch2	ch12,13	ch1,9,18,10	ch15
ERR1019048	23772	36004	2978	2418	1798	3012	22	114	204	2	70	40	19436	40
ERR1019049	48398	412	34	30	14	5002	38	42	248	0	10936	8	122	22
ERR1347685	23904	39998	3128	3220	1414	4	36	160	308	8	9384	14	21136	54
ERR1347693	62076	688	146	72	20	4	120	88	438	0	32210	4	148	36
ERR1347701	44702	650	120	58	46	2676	30	168	602	2	14914	46	88	34
ERR1347702	31088	41666	3000	3874	1428	5000	28	156	396	16	188	28	23088	52
ERR1347710	59294	774	222	78	22	4	58	82	320	0	26264	2	218	30
ERR1347711	52922	536	260	92	24	4	112	84	360	0	27000	10	142	16
ERR1347718	44258	408	152	98	10	4	70	44	300	2	19968	12	118	32
ERR1347727	80942	730	126	112	18	8152	48	78	844	2	11886	184	512	38
ERR1347728	29774	33584	2964	2562	1070	6	40	142	340	6	15450	32	17364	44
ERR1395546	62388	180	94	30	34	7036	74	122	420	0	1410	30	140	32
ERR1395551	53574	486	2	0	36	10500	36	76	550	0	156	20	32	34
ERR1395554	54434	556	38	58	34	2282	72	86	706	0	15014	38	214	32
ERR1395557	38610	53354	4408	3734	1256	146	58	154	392	22	21556	120	31174	56
ERR1395580	51600	508	136	32	92	20	76	222	946	2	19688	38	190	36
ERR1395595	65882	780	222	114	10	2	134	18	352	2	30598	6	140	42
ERR1395600	54626	390	82	2	12	1244	56	52	274	0	1698	6	106	36
ERR1395601	44724	716	62	0	12	1748	48	14	310	0	7272	4	80	42
ERR1395605	61378	828	270	62	28	2	88	102	448	0	29570	20	186	42
ERR1419107	22878	59132	3742	4966	3014	12	90	310	652	24	9018	138	32572	90
EGAN00001279031	34249	71044	4490	6799	4690	37	106	254	39	31	18655	128	40925	185
EGAN00001279032	64657	926	228	81	97	35	115	102	60	0	34191	35	225	36
EGAN00001279033	37805	83496	5014	7681	5113	68	166	259	44	37	21898	143	47041	214
EGAN00001279034	31939	38839	3592	2594	1395	36	141	145	43	15	17696	118	24114	80
EGAN00001279035	138624	812	19	16	109	21998	137	230	51	0	2936	450	1262	63
EGAN00001279036	58206	742	338	128	86	83	175	108	38	1	23223	39	233	41
EGAN00001279037	84101	623	104	105	72	7647	120	123	30	1	18883	187	575	30
EGAN00001279038	23387	37295	3258	3079	1535	38	92	146	40	23	10033	35	21307	94
EGAN00001279039	85710	2736	691	307	216	70	171	177	62	4	45453	37	1445	38
EGAN00001279040	81910	1149	220	136	138	41	127	125	62	1	43870	22	282	39
EGAN00001279041	66507	787	256	102	152	27	80	173	40	0	39520	40	248	29
EGAN00001279042	75739	536	75	82	74	7989	61	116	53	1	15893	199	546	38
EGAN00001279043	32261	65225	3162	6663	4415	54	128	150	60	27	17232	124	37629	163
EGAN00001279044	85508	841	168	104	137	5065	143	167	37	1	28990	65	369	33
EGAN00001279045	72983	806	283	108	81	33	120	110	56	1	39071	38	208	38
EGAN00001279046	67130	1078	222	97	96	33	113	102	59	0	38591	33	185	45
EGAN00001279047	121290	1289	637	99	121	106	247	225	57	1	33853	69	420	41
EGAN00001279048	32714	40267	3182	3274	1365	281	93	151	60	12	18142	76	23283	116
EGAN00001279049	38703	59927	2973	5850	3666	37	161	152	42	20	23644	108	32923	143
EGAN00001279050	68500	606	236	125	99	50	160	99	38	2	26694	28	228	42
EGAN00001279051	45804	346	88	65	54	25	78	64	29	0	23865	19	172	33
EGAN00001279052	25638	48359	1331	6924	2543	46	133	216	35	9	15362	42	26838	180
EGAN00001279053	49494	705	192	31	86	43	78	97	38	0	26177	24	136	37
EGAN00001279054	23568	52719	1424	7847	2864	26	107	236	29	22	13966	51	28532	180
EGAN00001279055	38130	187	72	35	54	2856	51	47	33	0	9297	34	125	29
