id	core_cenhap	prob	cen10h1	cen10h2	ch1-1	ch1-2	ch2	ch4,5,8	ch6	ch9,18	ch10	ch11	ch12,13
Denisova	6,6	0.89	0.05974	0.94026	0.0	0.0	0.11325	0.0	75.08494	0.33975	0.02831	0.16988	0.08494
Altai	6,6	0.83	0.02613	0.97387	0.13927	0.09895	0.87224	0.04764	140.41267	0.31152	0.12094	0.07696	0.18691
Chag	6,6	0.9	0.0	1.0	0.0	0.01654	0.21502	0.0827	55.64009	0.06616	0.03308	0.04962	0.03308
Vindija	6,6	0.88	0.00205	0.99795	0.0	0.0	0.0	0.0	72.82051	0.10256	0.20513	0.10256	0.10256
LesCottes_Z4-1514	1,6	0.81, 0.79	0.00279	0.99721	5.85679	1.11755	0.30008	0.03104	28.1043	0.05174	0.24834	0.07243	0.04139
Mezmaiskaya2	1,6	0.85, 0.76	0.00478	0.99522	4.97413	1.65141	0.45762	0.0	24.87067	0.13928	0.09948	0.0	0.17907
Mezmaiskaya1	1,3/7,6	0.86, 0.641, 0.82	0.07391	0.92609	2.4635	1.36861	2.09854	0.09124	29.37956	0.0	0.09124	0.09124	0.0
GoyetQ56-1	1,1	0.93	0.00366	0.99634	6.59121	2.06356	0.08707	0.04354	0.03483	0.07836	0.18285	0.0	0.07836
Spy94a	1,1	0.88	0.01236	0.98764	8.61145	1.64813	0.37083	0.16481	0.37083	0.10301	0.14421	0.0	0.14421
Hohlenstein-Stadel	2,6	0.77, 0.869	0.24731	0.75269	0.53763	0.0	11.29032	1.6129	53.76344	0.0	0.0	0.0	0.0
Scladina	2,4/5/8,6	0.84, 0.77, 0.83	0.65432	0.34568	0.0	0.0	7.40741	6.17284	18.51852	0.0	0.0	0.0	0.0
