id	cen11_hor	ch1-1	ch1-2	ch10-1	ch10-2	ch11-1	ch11-2	ch12-1	ch12-2	ch2-1	ch2-2	ch3,6-1	ch3,6-2	ch4-1	ch4-2	ch5-1	ch5-2	ch7-1	ch7-2	ch9-1	ch9-2	#67nea
ERR1019048	95280	33	44	130	25	0	15	35	4	59	66	2205	1530	69	43	336	6	57	2	165	2	1
ERR1019049	96331	28	43	137	36	1	18	40	7	53	45	2352	1487	64	32	306	7	48	1	127	0	0
ERR1347685	185133	35	40	116	87	2	47	88	25	17288	11651	2751	1438	147	92	505	2	215	3	264	2	0
ERR1347693	120471	34	47	198	40	1	35	107	3	87	58	3712	1988	62	66	512	6	95	3	152	0	0
ERR1347701	120524	53	73	220	88	5	99	181	12	169	145	3399	1962	119	131	549	12	220	4	416	3	1
ERR1347702	154130	5849	5571	219	80	2	44	81	5	98	93	1687	709	91	95	321	3	97	2	236	0	0
ERR1347711	118654	36	41	132	64	2	56	90	3	231	114	2006	850	1586	919	827	8	109	1	176	2	0
ERR1347717	99871	54	63	253	81	3	59	139	9	133	133	2318	1463	101	97	452	7	131	3	302	0	3
ERR1347718	105104	26	40	106	40	0	14	30	1	105	75	3063	1489	43	95	394	3	74	2	99	1	0
ERR1347727	146166	69	51	160	58	1	113	43	5	215	63	2206	1284	1949	1658	647	2	103	2	225	1	0
ERR1347728	98756	47	53	219	33	2	13	109	1	28	77	1958	1203	62	49	433	3	63	1	80	0	0
ERR1347736	106183	43	58	132	31	0	13	268	4	22	44	2441	1659	18	37	276	5	43	4	91	1	0
ERR1395546	204321	25	42	214	78	1	20	57	113	16059	11536	111	2	71	76	359	1	160	2	250	3	0
ERR1395551	148642	35	61	200	66	2	33	120	61	11533	8069	174	1	112	42	412	2	169	1	274	2	0
ERR1395554	113678	45	43	164	37	3	69	73	10	204	54	1654	842	722	922	604	3	167	5	230	0	0
ERR1395557	257714	7178	6680	243	129	1	30	245	51	14731	10156	156	29	206	137	729	0	169	2	338	2	1
ERR1395566	79026	41	36	146	74	4	49	84	18	299	111	1286	531	88	128	543	9	181	2	194	4	2
ERR1395580	127864	3079	2879	286	175	2587	3323	184	71	367	215	311	7	191	148	644	9	461	19	408	3	2
ERR1395595	186434	6727	6341	162	65	1	83	41	2	234	41	199	9	1631	1518	611	14	53	1	103	1	0
ERR1395600	123192	35	41	130	26	0	62	80	1	283	20	1558	890	903	920	579	1	48	0	66	0	0
ERR1395601	104798	48	44	154	21	0	12	66	1	59	49	3261	1481	23	18	247	0	43	1	68	0	0
ERR1395605	167304	81	33	138	106	0	97	80	50	16104	11063	235	2	1505	977	786	3	186	1	276	1	0
ERR1419107	122315	56	59	181	66	3	86	170	17	242	140	1383	828	1831	925	566	3	263	1	352	0	1
EGAN00001279031	143035	88	124	377	65	5	135	244	8	442	334	1670	872	2924	1125	940	24	202	5	415	2	3
EGAN00001279032	210344	96	86	379	160	7	92	251	72	20848	14305	1989	890	664	158	648	18	312	12	624	3	1
EGAN00001279033	203494	154	165	418	84	7	124	227	14	296	251	6300	3182	454	158	756	29	253	6	564	2	0
EGAN00001279034	126611	112	110	241	60	3	99	103	11	297	242	2279	1158	2276	979	800	16	140	6	338	2	0
EGAN00001279035	179231	134	115	339	81	6	98	172	17	251	296	5749	2500	352	144	955	22	214	6	539	1	3
EGAN00001279036	153721	121	98	262	67	10	81	201	15	349	241	5496	2638	337	126	768	25	194	3	447	2	0
EGAN00001279037	147058	93	85	300	63	6	77	167	13	249	209	4870	2567	385	102	580	14	156	8	409	1	0
EGAN00001279038	129565	104	100	294	64	5	105	137	13	153	184	3962	2440	346	96	345	32	183	6	357	2	0
EGAN00001279039	225731	52	76	357	189	7	254	261	46	20582	13923	951	26	3116	1262	832	14	320	7	648	2	1
EGAN00001279040	208758	8782	8306	382	115	5	132	250	22	254	309	2678	1476	474	148	418	19	256	2	559	1	2
EGAN00001279041	129296	99	123	268	95	2	132	216	12	196	300	4189	2161	275	103	515	12	232	7	545	1	0
EGAN00001279042	141753	69	93	202	64	2	163	141	9	421	178	2924	1059	2800	1357	831	8	192	5	467	0	0
EGAN00001279043	136102	100	105	283	69	1	154	284	17	382	305	2415	1014	308	127	888	15	149	7	399	0	0
EGAN00001279044	193047	70	78	364	192	9	122	257	14	18928	13340	2938	1225	572	211	630	23	363	8	682	3	0
EGAN00001279045	169222	7765	7337	308	68	4	165	183	12	342	256	801	37	392	134	918	22	193	6	459	3	1
EGAN00001279046	147564	6401	5946	298	95	3	94	278	12	220	271	1785	810	332	124	408	22	189	3	417	2	0
EGAN00001279047	309096	9157	8687	443	189	12	162	372	51	32300	21548	1087	35	754	215	622	31	407	10	829	0	0
EGAN00001279048	133312	148	115	275	74	3	149	150	14	326	259	2265	1187	2192	1242	691	24	169	5	390	1	1
EGAN00001279049	154689	92	113	313	110	3	161	269	11	305	267	2764	765	3218	1617	892	19	189	5	465	0	3
EGAN00001279050	159468	80	92	332	65	0	169	155	14	336	228	2657	1009	2582	1430	817	12	186	4	480	2	0
