id	core_cenhap	prob	cen12h1	cen12h2	ch1	ch2a	ch2b	ch2c	ch3	ch4	ch5	ch6	ch7	ch8
Denisova25	,		0.93899	0.06101	0.06009	0.00179	0.00448	0.01076	0.0	0.00359	0.19552	0.00897	0.19103	0.00179
Denosiva3	,		0.81696	0.18304	0.06696	0.0	0.0	0.0	0.0	0.0	0.35714	0.0	0.0	0.04464
Altai	5,5	0.889	0.96929	0.03071	0.04641	0.00253	0.0	0.00759	0.00084	0.01603	19.94769	0.0	0.08691	0.02109
Chagyrskaya	5,5	0.792	0.97898	0.02102	0.01289	0.0	0.02579	0.0	0.01289	0.01289	47.12481	0.0	0.32233	0.01289
Vindija	5,5	0.868	0.98412	0.01588	0.0	0.0	0.0	0.0	0.0	0.0	53.69578	0.0	0.12217	0.0
GoyetQ56-1	5,5	0.789	0.98316	0.01684	0.25833	0.0	0.01782	0.00891	0.0	0.02672	59.20185	0.0	0.15143	0.00891
LesCottes_Z4-1514	5,5	0.767	0.97799	0.02201	0.0209	0.0209	0.03483	0.01393	0.0	0.05572	28.32068	0.0	0.20896	0.02786
Mezmaiskaya2	2,5	0.799, 0.81	0.97294	0.02706	0.07216	0.03608	0.0	0.46906	0.0902	0.01804	67.05755	0.0	0.30669	0.01804
Spy94a	5,5	0.853	0.97616	0.02384	0.09769	0.0	0.0	0.0	0.0	0.09769	37.41696	0.03908	0.29308	0.01954
Mezmaiskaya1	1,5	0.846, 0.869	0.97842	0.02158	0.795	0.0	0.0	0.0	0.0	0.11357	47.92731	0.0	0.11357	0.0
Hohlenstein-Stadel	2,5	0.861, 0.791	0.97125	0.02875	0.31949	0.31949	0.0	6.38978	0.0	0.0	32.26837	0.0	0.0	0.0
Scladina	1,4,5	0.951, 0.882, 0.795	0.98913	0.01087	8.69565	0.0	0.0	0.0	0.0	4.34783	18.47826	0.0	0.0	0.0
