id	cen6h1	cen6h2	ch1-1	ch1-2	ch2-1	ch2-2	ch3-1	ch3-2	ch4-1	ch4-2	ch7-1	ch7-2	ch8-1	ch8-2	ch10-1	ch10-2	ch14-1	ch14-2
ERR1395601	25532	13620	26	2	21514	12084	3020	2546	8	52	32	230	0	140	452	0	0	54
ERR1395600	30382	1528	22	6	11270	5112	42	76	1604	7188	26	152	0	170	460	0	0	36
ERR1395595	74766	3774	54	12	64866	33626	184	112	28	54	38	210	0	166	492	0	0	40
ERR1395580	39428	702	1658	1168	62	84	68	36	3308	7316	50	152	0	374	1924	0	6	62
ERR1019048	18206	528	16	4	12	24	16	40	3296	7144	38	96	2	144	508	0	0	28
ERR1019049	22582	870	24	2	19014	8938	48	70	16	14	32	254	0	132	588	0	0	32
ERR1395557	48298	502	8660	5286	12	18	42	4	32	32	56	148	0	128	1002	0	0	52
ERR1395554	39748	684	1468	1116	4	24	16	8	5510	9200	28	200	0	84	750	0	0	26
ERR1395546	22704	666	552	252	4	4	10	4	4348	9386	26	134	0	306	880	2	0	26
ERR1395551	17450	470	4176	2548	14	12	4	0	20	22	30	122	0	110	1032	0	0	52
ERR1419107	46906	2238	128	6	25664	13232	72	116	2326	5864	32	270	0	230	1314	4	2	38
ERR1347693	46776	3326	82	8	41774	21928	74	106	24	84	22	256	0	146	670	0	0	40
ERR1347701	51892	2690	216	20	29854	16574	98	102	1952	5934	32	162	0	420	1322	0	2	54
ERR1347711	23572	1330	30	10	6770	818	24	62	2376	8026	28	178	0	140	540	0	0	36
ERR1347718	42626	2136	60	8	26422	14500	26	52	1676	4856	18	170	0	158	548	0	2	42
ERR1395605	49522	2768	102	10	43834	18908	70	84	46	204	36	254	0	268	784	0	0	44
ERR1347710	56172	3366	46	10	50614	25978	74	152	30	164	50	310	0	186	654	0	2	22
ERR1347702	29620	1270	46	10	11656	4540	42	68	2116	5558	34	112	0	248	864	0	0	30
ERR1347727	93336	5196	138	18	83514	48798	64	132	24	256	38	388	0	436	610	0	0	44
ERR1347685	53352	2500	96	8	29490	17086	66	58	2902	6018	50	210	0	188	698	0	2	38
ERR1347728	48742	2498	64	2	42800	22046	74	78	26	110	28	280	0	204	366	0	0	38
EGAN00001279031	57275	4268	125	32	44689	22089	449	236	77	224	61	392	1	358	2195	3	1	0
EGAN00001279032	33862	2441	70	22	12905	5713	241	155	3325	4322	45	272	0	312	2079	2	3	0
EGAN00001279033	97454	5295	187	70	81592	44525	712	146	151	517	52	414	0	540	2496	0	2	0
EGAN00001279034	29649	18846	82	32	23864	11899	5137	3928	71	167	60	249	0	319	1926	9	2	0
EGAN00001279035	101242	4425	218	74	83392	46418	661	137	109	391	55	441	0	401	2567	2	2	0
EGAN00001279036	42038	1803	103	26	32850	15923	321	140	89	225	53	327	0	212	1837	2	2	0
EGAN00001279037	25769	15033	91	17	19232	8945	3976	2917	82	232	44	237	0	583	1631	6	1	0
EGAN00001279038	40300	14941	109	31	32928	18236	3835	2750	88	247	64	218	0	356	1879	9	5	0
EGAN00001279039	90868	4350	190	71	74729	39846	711	176	167	501	35	346	1	374	2587	3	3	0
EGAN00001279040	75360	3541	161	32	59624	29217	602	153	113	322	54	373	0	277	2135	0	5	0
EGAN00001279041	68009	1742	186	39	55099	24279	586	82	121	384	50	414	1	424	2705	0	3	0
EGAN00001279042	45542	1618	83	35	22056	11089	346	38	2941	9286	55	203	1	302	1976	0	1	0
EGAN00001279043	96711	4679	184	63	79036	39776	823	162	122	446	47	572	0	482	2262	2	4	0
EGAN00001279044	54434	3951	139	28	45283	23334	502	103	93	296	41	256	0	366	2813	1	3	0
EGAN00001279045	57359	4535	127	20	49456	24248	439	139	75	211	51	408	0	346	1830	1	0	0
EGAN00001279046	66027	2895	139	42	38780	21738	579	83	3098	6737	54	289	0	332	1932	0	6	0
EGAN00001279047	82196	4793	203	56	66754	33946	589	116	104	290	48	344	0	453	3237	3	2	0
EGAN00001279048	51764	3970	117	26	41001	21108	455	165	131	283	64	324	1	356	1787	0	1	0
EGAN00001279049	50527	3298	110	26	41260	19245	541	90	70	241	54	404	1	279	2215	1	2	0
EGAN00001279050	123108	5256	262	76	103310	59202	1019	146	156	564	45	467	1	504	2108	2	4	0
EGAN00001279051	47011	2259	92	20	37372	18384	553	112	90	174	57	292	0	316	1567	2	1	0
EGAN00001279052	44127	3763	89	22	35971	20384	449	107	54	176	40	275	1	245	1395	0	1	0
EGAN00001279053	41372	2709	94	23	34130	17861	318	109	68	166	37	203	0	227	1683	1	1	0
EGAN00001279054	33874	2357	106	26	26045	8132	337	126	56	148	42	254	2	426	1762	1	1	0
EGAN00001279055	37765	2547	84	17	31371	15786	343	116	68	152	47	254	0	312	1162	0	1	0
